date,domain,status,status_details,pages
2021-12-09,domain3,Excluded,Blocked by robots.txt,11
2021-12-09,domain3,Excluded,Crawled - currently not indexed,1969
2021-12-09,domain3,Excluded,Discovered - currently not indexed,705
2021-12-09,domain3,Excluded,Duplicate without user-selected canonical,16
2021-12-09,domain3,Excluded,"Duplicate, Google chose different canonical than user",3
2021-12-09,domain3,Excluded,"Duplicate, submitted URL not selected as canonical",13
2021-12-09,domain3,Excluded,Excluded by ‘noindex’ tag,3232
2021-12-09,domain3,Valid,"Indexed, not submitted in sitemap",938
2021-12-09,domain3,Warning,"Indexed, though blocked by robots.txt",21
2021-12-09,domain3,Excluded,Not found (404),14
2021-12-09,domain3,Excluded,Page with redirect,1884
2021-12-09,domain3,Valid,Submitted and indexed,6284
2021-12-09,domain3,Error,Submitted URL not found (404),0
2021-12-10,domain3,Excluded,Alternate page with proper canonical tag,633
2021-12-10,domain3,Excluded,Blocked by robots.txt,11
2021-12-10,domain3,Excluded,Crawled - currently not indexed,1969
2021-12-10,domain3,Excluded,Discovered - currently not indexed,705
,domain3,Excluded,Duplicate without user-selected canonical,16
,domain3,Excluded,"Duplicate, Google chose different canonical than user",3
2021-12-10,domain3,Excluded,"Duplicate, submitted URL not selected as canonical",13
2021-12-10,domain3,Excluded,Excluded by ‘noindex’ tag,3232
2021-12-10,domain3,Valid,"Indexed, not submitted in sitemap",938
2021-12-10,domain3,Warning,"Indexed, though blocked by robots.txt",21
2021-12-10,domain3,Excluded,Not found (404),14
2021-12-10,domain3,Excluded,Page with redirect,1884
2021-12-10,domain3,,Submitted and indexed,6284
2021-12-10,domain3,Error,Submitted URL not found (404),0
2021-12-11,domain3,Excluded,Alternate page with proper canonical tag,633
2021-12-11,domain3,Excluded,Blocked by robots.txt,11
2021-12-11,domain3,Excluded,Crawled - currently not indexed,1969
2021-12-11,domain3,Excluded,Discovered - currently not indexed,705
2021-12-11,domain3,Excluded,Duplicate without user-selected canonical,16
2021-12-11,domain3,Excluded,"Duplicate, Google chose different canonical than user",3
2021-12-11,domain3,Excluded,"Duplicate, submitted URL not selected as canonical",13
2021-12-11,domain3,Excluded,Excluded by ‘noindex’ tag,3232
